TWEET,MESSAGE,MATCH,POLARITY
1,Here s a song for you snow jam by in,['jam'],Negative
2,shinchocalendar Snow Man 2021 4 2022 3 Johnnys Official 9,[],Neutral
3,Snow Man D D 1 22 Debut,[],Neutral
4,In Hell the rivers run red with Smoup,['hell'],Negative
5,GPS SNOW,[],Neutral
6,udeGyalMauni Came home to take a nap at bout 6 Chill and ate a edible I been out cold ever since,"['chill', 'cold']",Negative
7,,[],Neutral
8,gitardi hari ini bawa Syidi kucing dari FHUI ke vet karena dia atit flu tp ga perlu gw bantuin uda ngmg sendiri ke dokternya http,[],Neutral
9,IGO 7 SLV i unes El Salvador JAYBDEF 1 Sweet Dream 2 Call me 3 Cold Night OFFSHO E Scene3 DEF JAEBEOM JAYB,"['sweet', 'cold']",Neutral
10,let s murder the term GOA in cold blood mmkay,"['cold', 'murder']",Negative
11,some ppl tweet bold n i m real into tht but then there are ppl who think theyre doin tht when rlly theyre tweetin o,[],Neutral
12,It s just me myself amp I solo ride until I die cause I got me for life I don t need a hand to hold even when the n,['die'],Negative
13,1anjohn Why women gotta be knocked out cold for y all to consider it abuse,"['abuse', 'cold']",Negative
14,Glaciator heNub Here s my latest commission made for DJ Prof K ried to kinda redesign K a bit using splatoon for inspiration and t,['inspiration'],Positive
15,When you re hot milk things for everything they re worth you can be a long time in the cold and then no one want,"['hot', 'worth', 'cold']",Positive
16,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
17,Hlaing 16th ward errorists rioted in Hlaing MarLarMyaing 6th ward destroyed cars doors robbed cold drinks amp viole,['cold'],Negative
18,Cause it s too cold for you here,['cold'],Negative
19,IGO 7 SLV i unes El Salvador JAYBDEF 1 Sweet Dream 2 Call me 3 Cold Night OFFSHO E Scene3 DEF JAEBEOM JAYB,"['sweet', 'cold']",Neutral
20,LondonFire he weather may be warmer but the water can still be cold and dangerous Cold water shock happens when you suddenly enter,"['warmer', 'cold', 'dangerous', 'shock']",Negative
21,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
22,2020Fukairi KevanKenney M V EQUES SnowMan M V FridayLivestream I m requesting Snow Man to M V s FLS Please p,[],Neutral
23,woke up in a cold sweat today is kingdom,['cold'],Negative
24,V Snow Man,[],Neutral
25,PaingPhyoe hu9 WhatsHappeningInMyanmar Apr1Coup,[],Neutral
26,my feet cold af but if i put socks on i m not gts at all,['cold'],Negative
27,SarahJustice12 Or worse,['worse'],Negative
28,Got myself one of these 15 cold smokers Highly recommend Just a few minutes of smoking and the steaks salmon tas,"['recommend', 'cold']",Neutral
29,eflexpillow Is that the EasterWeekend we can see Good Morning Everyone EarlyBiz Who s had snow,['good'],Positive
30,shinchocalendar Snow Man 2021 4 2022 3 Johnnys Official 9,[],Neutral
31,c tugg andPaul By definition these are NO vaccines hey do not immunize you from this sniffles flu that is l,[],Neutral
32,stock jenny Sorry it s so cold miserable out Send firewood I d take a picture but it s too foggy,"['cold', 'miserable', 'sorry']",Negative
33,amass jp Double Fantasy Cold urkey,['cold'],Negative
34,11 05pm Grieves Chillin Ice Cold feat omaro Franceswa unning Wild,"['feat', 'cold', 'wild']",Negative
35,It s cold Here take this,['cold'],Negative
36,bro only gay people get cold,['cold'],Negative
37,i want what ever the fuck snow white took,['fuck'],Negative
38,Please just shut the fuck up you sound like Donald Duck sucking on a cold ass popsicle,"['like', 'cold', 'fuck']",Negative
39,AquaBlue12345 w www AQUA Snow w,[],Neutral
40,A sport that can be done even in cold weather hat s billiard,['cold'],Negative
